state,era,use_group,properties,avg_sqft,median_value
KY,pre-1960,INDUSTRIAL,3284,29527,267207
KY,2000-09,INDUSTRIAL,1993,46643,592631
KY,2010+,INDUSTRIAL,696,38919,433070
LA,unknown,Commercial,246702,9189,57243
LA,1980-99,Commercial,30466,11966,228996
LA,unknown,INDUSTRIAL,28838,14226,78857
LA,2000-09,Commercial,20439,11313,402046
LA,pre-1960,Commercial,19700,7100,189575
LA,2010+,Commercial,17204,8148,336623
LA,1960-79,Commercial,16647,10690,144400
LA,1980-99,INDUSTRIAL,6055,12504,153732
LA,1960-79,INDUSTRIAL,4653,11448,119014
LA,pre-1960,INDUSTRIAL,4262,8057,104062
LA,2000-09,INDUSTRIAL,3687,10414,162379
LA,2010+,INDUSTRIAL,3318,8660,180627
ME,unknown,Commercial,30217,4751,
ME,pre-1960,Commercial,22174,6257,
ME,1980-99,Commercial,12081,10219,
ME,1960-79,Commercial,9528,9373,
ME,2000-09,Commercial,5894,11036,
ME,unknown,INDUSTRIAL,5021,12672,
ME,2010+,Commercial,3976,10566,
ME,1980-99,INDUSTRIAL,1709,21690,
ME,1960-79,INDUSTRIAL,1163,28136,
ME,pre-1960,INDUSTRIAL,1000,29432,
ME,2000-09,INDUSTRIAL,821,17324,
ME,2010+,INDUSTRIAL,607,12175,
MD,unknown,Commercial,59673,5939,151368
MD,pre-1960,Commercial,47917,4340,290616
MD,1980-99,Commercial,28170,14298,545040
MD,1960-79,Commercial,20689,11605,603352
MD,unknown,INDUSTRIAL,16833,17966,120969
MD,2000-09,Commercial,12045,18966,1072594
MD,1980-99,INDUSTRIAL,8613,26811,883585
MD,pre-1960,INDUSTRIAL,7529,16850,315562
MD,1960-79,INDUSTRIAL,6997,25814,905786
MD,2010+,Commercial,6889,23084,1695483
MD,2000-09,INDUSTRIAL,3428,33435,1000761
MD,2010+,INDUSTRIAL,1740,87541,2935650
MA,pre-1960,Commercial,172837,7117,
MA,unknown,Commercial,95945,10848,
MA,1980-99,Commercial,79207,12044,
MA,1960-79,Commercial,67692,11667,
MA,unknown,INDUSTRIAL,28128,43628,
MA,2000-09,Commercial,24337,16444,
MA,1980-99,INDUSTRIAL,21360,27209,
MA,2010+,Commercial,18405,25998,
MA,pre-1960,INDUSTRIAL,15045,33342,
MA,1960-79,INDUSTRIAL,13699,35886,
MA,2000-09,INDUSTRIAL,6230,26200,
MA,2010+,INDUSTRIAL,3551,49605,
MI,unknown,Commercial,460659,9278,89430
MI,pre-1960,Commercial,132624,7054,159153
MI,unknown,INDUSTRIAL,89220,31332,84921
MI,1960-79,Commercial,70231,13871,329651
MI,1980-99,Commercial,57224,17753,543532
MI,2000-09,Commercial,29266,17152,658748
MI,pre-1960,INDUSTRIAL,21681,28055,217719
MI,1980-99,INDUSTRIAL,20355,36105,815090
MI,1960-79,INDUSTRIAL,19811,30941,494180
MI,2010+,Commercial,11590,20857,830615
MI,2000-09,INDUSTRIAL,6920,35888,735520
MI,2010+,INDUSTRIAL,4268,44509,683031
MN,unknown,Commercial,123316,7062,51827
MN,pre-1960,Commercial,60960,11800,221792
MN,1980-99,Commercial,41436,20399,509078
MN,1960-79,Commercial,34095,17899,395879
